"cod_ibge";"ano";"nivel_escolar";"rede";"matriculas"
3502606;2019;"Creche";"Estadual";0
3502606;2019;"Creche";"Municipal";95
3502606;2019;"Creche";"Particular";0
3502705;2019;"Creche";"Estadual";0
3502705;2019;"Creche";"Municipal";446
3502705;2019;"Creche";"Particular";0
3502754;2019;"Creche";"Estadual";0
3502754;2019;"Creche";"Municipal";453
3502754;2019;"Creche";"Particular";16
3502804;2019;"Creche";"Estadual";0
3502804;2019;"Creche";"Municipal";4504
3502804;2019;"Creche";"Particular";1242
3502903;2019;"Creche";"Estadual";0
3502903;2019;"Creche";"Municipal";550
3502903;2019;"Creche";"Particular";56
3503000;2019;"Creche";"Estadual";0
3503000;2019;"Creche";"Municipal";145
3503000;2019;"Creche";"Particular";0
3503109;2019;"Creche";"Estadual";0
3503109;2019;"Creche";"Municipal";102
3503109;2019;"Creche";"Particular";0
3503158;2019;"Creche";"Estadual";0
3503158;2019;"Creche";"Municipal";22
3503158;2019;"Creche";"Particular";0
3503208;2019;"Creche";"Estadual";0
3503208;2019;"Creche";"Municipal";5696
3503208;2019;"Creche";"Particular";1053
3503307;2019;"Creche";"Estadual";0
3503307;2019;"Creche";"Municipal";3706
3503307;2019;"Creche";"Particular";919
3503356;2019;"Creche";"Estadual";0
3503356;2019;"Creche";"Municipal";28
3503356;2019;"Creche";"Particular";0
3503406;2019;"Creche";"Estadual";0
3503406;2019;"Creche";"Municipal";130
3503406;2019;"Creche";"Particular";0
3503505;2019;"Creche";"Estadual";0
3503505;2019;"Creche";"Municipal";46
3503505;2019;"Creche";"Particular";0
3503604;2019;"Creche";"Estadual";0
3503604;2019;"Creche";"Municipal";167
3503604;2019;"Creche";"Particular";0
3503703;2019;"Creche";"Estadual";0
3503703;2019;"Creche";"Municipal";154
3503703;2019;"Creche";"Particular";0
3503802;2019;"Creche";"Estadual";0
3503802;2019;"Creche";"Municipal";1031
3503802;2019;"Creche";"Particular";217
3503901;2019;"Creche";"Estadual";0
3503901;2019;"Creche";"Municipal";1586
3503901;2019;"Creche";"Particular";273
3503950;2019;"Creche";"Estadual";0
3503950;2019;"Creche";"Municipal";47
3503950;2019;"Creche";"Particular";0
3504008;2019;"Creche";"Estadual";0
3504008;2019;"Creche";"Municipal";1904
3504008;2019;"Creche";"Particular";718
3504107;2019;"Creche";"Estadual";0
3504107;2019;"Creche";"Municipal";2145
3504107;2019;"Creche";"Particular";1741
3504206;2019;"Creche";"Estadual";0
3504206;2019;"Creche";"Municipal";169
3504206;2019;"Creche";"Particular";42
3504305;2019;"Creche";"Estadual";0
3504305;2019;"Creche";"Municipal";37
3504305;2019;"Creche";"Particular";0
3504404;2019;"Creche";"Estadual";0
3504404;2019;"Creche";"Municipal";319
3504404;2019;"Creche";"Particular";31
3504503;2019;"Creche";"Estadual";0
3504503;2019;"Creche";"Municipal";1559
3504503;2019;"Creche";"Particular";826
3504602;2019;"Creche";"Estadual";0
3504602;2019;"Creche";"Municipal";467
3504602;2019;"Creche";"Particular";22
3504701;2019;"Creche";"Estadual";0
3504701;2019;"Creche";"Municipal";49
3504701;2019;"Creche";"Particular";0
3504800;2019;"Creche";"Estadual";0
3504800;2019;"Creche";"Municipal";162
3504800;2019;"Creche";"Particular";0
3504909;2019;"Creche";"Estadual";0
3504909;2019;"Creche";"Municipal";81
3504909;2019;"Creche";"Particular";0
3505005;2019;"Creche";"Estadual";0
3505005;2019;"Creche";"Municipal";83
3505005;2019;"Creche";"Particular";0
3505104;2019;"Creche";"Estadual";0
3505104;2019;"Creche";"Municipal";182
3505104;2019;"Creche";"Particular";0
3505203;2019;"Creche";"Estadual";0
3505203;2019;"Creche";"Municipal";579
3505203;2019;"Creche";"Particular";161
3505302;2019;"Creche";"Estadual";0
3505302;2019;"Creche";"Municipal";132
3505302;2019;"Creche";"Particular";530
3505351;2019;"Creche";"Estadual";0
3505351;2019;"Creche";"Municipal";77
3505351;2019;"Creche";"Particular";0
3505401;2019;"Creche";"Estadual";0
3505401;2019;"Creche";"Municipal";0
3505401;2019;"Creche";"Particular";0
3505500;2019;"Creche";"Estadual";0
3505500;2019;"Creche";"Municipal";2571
3505500;2019;"Creche";"Particular";1057
3505609;2019;"Creche";"Estadual";0
3505609;2019;"Creche";"Municipal";484
3505609;2019;"Creche";"Particular";6
3505708;2019;"Creche";"Estadual";0
3505708;2019;"Creche";"Municipal";9596
3505708;2019;"Creche";"Particular";755
3505807;2019;"Creche";"Estadual";0
3505807;2019;"Creche";"Municipal";308
3505807;2019;"Creche";"Particular";175
3505906;2019;"Creche";"Estadual";0
3505906;2019;"Creche";"Municipal";711
3505906;2019;"Creche";"Particular";432
3506003;2019;"Creche";"Estadual";0
3506003;2019;"Creche";"Municipal";4405
3506003;2019;"Creche";"Particular";3639
3506102;2019;"Creche";"Estadual";0
3506102;2019;"Creche";"Municipal";1995
3506102;2019;"Creche";"Particular";341
3506201;2019;"Creche";"Estadual";0
3506201;2019;"Creche";"Municipal";54
3506201;2019;"Creche";"Particular";0
3506300;2019;"Creche";"Estadual";0
3506300;2019;"Creche";"Municipal";245
3506300;2019;"Creche";"Particular";20
3506359;2019;"Creche";"Estadual";0
3506359;2019;"Creche";"Municipal";1818
3506359;2019;"Creche";"Particular";192
3506409;2019;"Creche";"Estadual";0
3506409;2019;"Creche";"Municipal";167
3506409;2019;"Creche";"Particular";0
3506508;2019;"Creche";"Estadual";0
3506508;2019;"Creche";"Municipal";2059
3506508;2019;"Creche";"Particular";1274
3506607;2019;"Creche";"Estadual";0
3506607;2019;"Creche";"Municipal";193
3506607;2019;"Creche";"Particular";17
3506706;2019;"Creche";"Estadual";0
3506706;2019;"Creche";"Municipal";304
3506706;2019;"Creche";"Particular";0
3506805;2019;"Creche";"Estadual";0
3506805;2019;"Creche";"Municipal";225
3506805;2019;"Creche";"Particular";0
3506904;2019;"Creche";"Estadual";0
3506904;2019;"Creche";"Municipal";136
3506904;2019;"Creche";"Particular";0
3507001;2019;"Creche";"Estadual";0
3507001;2019;"Creche";"Municipal";806
3507001;2019;"Creche";"Particular";522
3507100;2019;"Creche";"Estadual";0
3507100;2019;"Creche";"Municipal";419
3507100;2019;"Creche";"Particular";215
3507159;2019;"Creche";"Estadual";0
3507159;2019;"Creche";"Municipal";139
3507159;2019;"Creche";"Particular";0
3507209;2019;"Creche";"Estadual";0
3507209;2019;"Creche";"Municipal";27
3507209;2019;"Creche";"Particular";0
3507308;2019;"Creche";"Estadual";0
3507308;2019;"Creche";"Municipal";145
3507308;2019;"Creche";"Particular";0
3507407;2019;"Creche";"Estadual";0
3507407;2019;"Creche";"Municipal";293
3507407;2019;"Creche";"Particular";25
3507456;2019;"Creche";"Estadual";0
3507456;2019;"Creche";"Municipal";62
3507456;2019;"Creche";"Particular";0
3507506;2019;"Creche";"Estadual";0
3507506;2019;"Creche";"Municipal";2285
3507506;2019;"Creche";"Particular";1620
3507605;2019;"Creche";"Estadual";0
3507605;2019;"Creche";"Municipal";3184
3507605;2019;"Creche";"Particular";777
3507704;2019;"Creche";"Estadual";0
3507704;2019;"Creche";"Municipal";150
3507704;2019;"Creche";"Particular";0
3507753;2019;"Creche";"Estadual";0
3507753;2019;"Creche";"Municipal";84
3507753;2019;"Creche";"Particular";0
3507803;2019;"Creche";"Estadual";0
3507803;2019;"Creche";"Municipal";457
3507803;2019;"Creche";"Particular";49
3507902;2019;"Creche";"Estadual";0
3507902;2019;"Creche";"Municipal";402
3507902;2019;"Creche";"Particular";42
3508009;2019;"Creche";"Estadual";0
3508009;2019;"Creche";"Municipal";433
3508009;2019;"Creche";"Particular";0
3508108;2019;"Creche";"Estadual";0
3508108;2019;"Creche";"Municipal";272
3508108;2019;"Creche";"Particular";27
3508207;2019;"Creche";"Estadual";0
3508207;2019;"Creche";"Municipal";101
3508207;2019;"Creche";"Particular";0
3508306;2019;"Creche";"Estadual";0
3508306;2019;"Creche";"Municipal";32
3508306;2019;"Creche";"Particular";20
3508405;2019;"Creche";"Estadual";0
3508405;2019;"Creche";"Municipal";1272
3508405;2019;"Creche";"Particular";51
3508504;2019;"Creche";"Estadual";0
3508504;2019;"Creche";"Municipal";1256
3508504;2019;"Creche";"Particular";313
3508603;2019;"Creche";"Estadual";0
3508603;2019;"Creche";"Municipal";454
3508603;2019;"Creche";"Particular";171
3508702;2019;"Creche";"Estadual";0
3508702;2019;"Creche";"Municipal";278
3508702;2019;"Creche";"Particular";17
3508801;2019;"Creche";"Estadual";0
3508801;2019;"Creche";"Municipal";183
3508801;2019;"Creche";"Particular";21
3508900;2019;"Creche";"Estadual";0
3508900;2019;"Creche";"Municipal";61
3508900;2019;"Creche";"Particular";0
3509007;2019;"Creche";"Estadual";0
3509007;2019;"Creche";"Municipal";2734
3509007;2019;"Creche";"Particular";244
3509106;2019;"Creche";"Estadual";0
3509106;2019;"Creche";"Municipal";58
3509106;2019;"Creche";"Particular";0
3509205;2019;"Creche";"Estadual";0
3509205;2019;"Creche";"Municipal";1629
3509205;2019;"Creche";"Particular";288
3509254;2019;"Creche";"Estadual";0
3509254;2019;"Creche";"Municipal";373
3509254;2019;"Creche";"Particular";41
3509304;2019;"Creche";"Estadual";0
3509304;2019;"Creche";"Municipal";251
3509304;2019;"Creche";"Particular";0
3509403;2019;"Creche";"Estadual";0
3509403;2019;"Creche";"Municipal";247
3509403;2019;"Creche";"Particular";252
3509452;2019;"Creche";"Estadual";0
3509452;2019;"Creche";"Municipal";90
3509452;2019;"Creche";"Particular";0
3509502;2019;"Creche";"Estadual";0
3509502;2019;"Creche";"Municipal";19763
3509502;2019;"Creche";"Particular";10619
3509601;2019;"Creche";"Estadual";0
3509601;2019;"Creche";"Municipal";1041
3509601;2019;"Creche";"Particular";258
3509700;2019;"Creche";"Estadual";0
3509700;2019;"Creche";"Municipal";1332
3509700;2019;"Creche";"Particular";210
3509809;2019;"Creche";"Estadual";0
3509809;2019;"Creche";"Municipal";109
3509809;2019;"Creche";"Particular";0
3509908;2019;"Creche";"Estadual";0
3509908;2019;"Creche";"Municipal";175
3509908;2019;"Creche";"Particular";8
3509957;2019;"Creche";"Estadual";0
3509957;2019;"Creche";"Municipal";84
3509957;2019;"Creche";"Particular";0
3510005;2019;"Creche";"Estadual";0
3510005;2019;"Creche";"Municipal";324
3510005;2019;"Creche";"Particular";468
3510104;2019;"Creche";"Estadual";0
3510104;2019;"Creche";"Municipal";54
3510104;2019;"Creche";"Particular";0
3510153;2019;"Creche";"Estadual";0
3510153;2019;"Creche";"Municipal";102
3510153;2019;"Creche";"Particular";0
3510203;2019;"Creche";"Estadual";0
3510203;2019;"Creche";"Municipal";917
3510203;2019;"Creche";"Particular";99
3510302;2019;"Creche";"Estadual";0
3510302;2019;"Creche";"Municipal";405
3510302;2019;"Creche";"Particular";6
3510401;2019;"Creche";"Estadual";0
3510401;2019;"Creche";"Municipal";884
3510401;2019;"Creche";"Particular";176
3510500;2019;"Creche";"Estadual";0
3510500;2019;"Creche";"Municipal";3804
3510500;2019;"Creche";"Particular";519
3510609;2019;"Creche";"Estadual";0
3510609;2019;"Creche";"Municipal";2044
3510609;2019;"Creche";"Particular";5232
3510708;2019;"Creche";"Estadual";0
3510708;2019;"Creche";"Municipal";204
3510708;2019;"Creche";"Particular";16
3510807;2019;"Creche";"Estadual";0
3510807;2019;"Creche";"Municipal";580
3510807;2019;"Creche";"Particular";143
3510906;2019;"Creche";"Estadual";0
3510906;2019;"Creche";"Municipal";103
3510906;2019;"Creche";"Particular";0
3511003;2019;"Creche";"Estadual";0
3511003;2019;"Creche";"Municipal";378
3511003;2019;"Creche";"Particular";0
3511102;2019;"Creche";"Estadual";0
3511102;2019;"Creche";"Municipal";2151
3511102;2019;"Creche";"Particular";548
3511201;2019;"Creche";"Estadual";0
3511201;2019;"Creche";"Municipal";109
3511201;2019;"Creche";"Particular";34
3511300;2019;"Creche";"Estadual";0
3511300;2019;"Creche";"Municipal";220
3511300;2019;"Creche";"Particular";0
3511409;2019;"Creche";"Estadual";0
3511409;2019;"Creche";"Municipal";528
3511409;2019;"Creche";"Particular";67
3511508;2019;"Creche";"Estadual";0
3511508;2019;"Creche";"Municipal";1276
3511508;2019;"Creche";"Particular";68
3511607;2019;"Creche";"Estadual";0
3511607;2019;"Creche";"Municipal";420
3511607;2019;"Creche";"Particular";15
3511706;2019;"Creche";"Estadual";0
3511706;2019;"Creche";"Municipal";128
3511706;2019;"Creche";"Particular";270
3511904;2019;"Creche";"Estadual";0
3511904;2019;"Creche";"Municipal";212
3511904;2019;"Creche";"Particular";0
3512001;2019;"Creche";"Estadual";0
3512001;2019;"Creche";"Municipal";468
3512001;2019;"Creche";"Particular";43
3512100;2019;"Creche";"Estadual";0
3512100;2019;"Creche";"Municipal";157
3512100;2019;"Creche";"Particular";0
3512209;2019;"Creche";"Estadual";0
3512209;2019;"Creche";"Municipal";672
3512209;2019;"Creche";"Particular";25
3512308;2019;"Creche";"Estadual";0
3512308;2019;"Creche";"Municipal";367
3512308;2019;"Creche";"Particular";50
3512407;2019;"Creche";"Estadual";0
3512407;2019;"Creche";"Municipal";679
3512407;2019;"Creche";"Particular";45
3512506;2019;"Creche";"Estadual";0
3512506;2019;"Creche";"Municipal";168
3512506;2019;"Creche";"Particular";0
3512605;2019;"Creche";"Estadual";0
3512605;2019;"Creche";"Municipal";68
3512605;2019;"Creche";"Particular";27
3512704;2019;"Creche";"Estadual";0
3512704;2019;"Creche";"Municipal";71
3512704;2019;"Creche";"Particular";0
3512803;2019;"Creche";"Estadual";0
3512803;2019;"Creche";"Municipal";1200
3512803;2019;"Creche";"Particular";24
3512902;2019;"Creche";"Estadual";0
3512902;2019;"Creche";"Municipal";153
3512902;2019;"Creche";"Particular";0
3513009;2019;"Creche";"Estadual";0
3513009;2019;"Creche";"Municipal";3381
3513009;2019;"Creche";"Particular";1298
3513108;2019;"Creche";"Estadual";0
3513108;2019;"Creche";"Municipal";593
3513108;2019;"Creche";"Particular";226
3513207;2019;"Creche";"Estadual";0
3513207;2019;"Creche";"Municipal";27
3513207;2019;"Creche";"Particular";166
3513306;2019;"Creche";"Estadual";0
3513306;2019;"Creche";"Municipal";75
3513306;2019;"Creche";"Particular";0
3513405;2019;"Creche";"Estadual";0
3513405;2019;"Creche";"Municipal";685
3513405;2019;"Creche";"Particular";327
3513504;2019;"Creche";"Estadual";0
3513504;2019;"Creche";"Municipal";1706
3513504;2019;"Creche";"Particular";811
3513603;2019;"Creche";"Estadual";0
3513603;2019;"Creche";"Municipal";196
3513603;2019;"Creche";"Particular";16
3513702;2019;"Creche";"Estadual";0
3513702;2019;"Creche";"Municipal";471
3513702;2019;"Creche";"Particular";252
3513801;2019;"Creche";"Estadual";0
3513801;2019;"Creche";"Municipal";4061
3513801;2019;"Creche";"Particular";4178
3513850;2019;"Creche";"Estadual";0
3513850;2019;"Creche";"Municipal";36
3513850;2019;"Creche";"Particular";0
3513900;2019;"Creche";"Estadual";0
3513900;2019;"Creche";"Municipal";166
3513900;2019;"Creche";"Particular";16
3514007;2019;"Creche";"Estadual";0
3514007;2019;"Creche";"Municipal";211
3514007;2019;"Creche";"Particular";0
3514106;2019;"Creche";"Estadual";0
3514106;2019;"Creche";"Municipal";298
3514106;2019;"Creche";"Particular";96
3514205;2019;"Creche";"Estadual";0
3514205;2019;"Creche";"Municipal";50
3514205;2019;"Creche";"Particular";0
3514304;2019;"Creche";"Estadual";0
3514304;2019;"Creche";"Municipal";163
3514304;2019;"Creche";"Particular";0
3514403;2019;"Creche";"Estadual";0
3514403;2019;"Creche";"Municipal";1065
3514403;2019;"Creche";"Particular";128
3514502;2019;"Creche";"Estadual";0
3514502;2019;"Creche";"Municipal";116
3514502;2019;"Creche";"Particular";112
3514601;2019;"Creche";"Estadual";0
3514601;2019;"Creche";"Municipal";236
3514601;2019;"Creche";"Particular";5
3514700;2019;"Creche";"Estadual";0
3514700;2019;"Creche";"Municipal";155
3514700;2019;"Creche";"Particular";0
3514809;2019;"Creche";"Estadual";0
3514809;2019;"Creche";"Municipal";236
3514809;2019;"Creche";"Particular";0
3514908;2019;"Creche";"Estadual";0
3514908;2019;"Creche";"Municipal";360
3514908;2019;"Creche";"Particular";0
3514924;2019;"Creche";"Estadual";0
3514924;2019;"Creche";"Municipal";61
3514924;2019;"Creche";"Particular";0
3514957;2019;"Creche";"Estadual";0
3514957;2019;"Creche";"Municipal";44
3514957;2019;"Creche";"Particular";0
3515004;2019;"Creche";"Estadual";0
3515004;2019;"Creche";"Municipal";3187
3515004;2019;"Creche";"Particular";3098
3515103;2019;"Creche";"Estadual";0
3515103;2019;"Creche";"Municipal";1303
3515103;2019;"Creche";"Particular";171
3515129;2019;"Creche";"Estadual";0
3515129;2019;"Creche";"Municipal";94
3515129;2019;"Creche";"Particular";0
3515152;2019;"Creche";"Estadual";0
3515152;2019;"Creche";"Municipal";535
3515152;2019;"Creche";"Particular";4
3515186;2019;"Creche";"Estadual";0
3515186;2019;"Creche";"Municipal";653
3515186;2019;"Creche";"Particular";206
3515194;2019;"Creche";"Estadual";0
3515194;2019;"Creche";"Municipal";119
3515194;2019;"Creche";"Particular";0
3515202;2019;"Creche";"Estadual";0
3515202;2019;"Creche";"Municipal";201
3515202;2019;"Creche";"Particular";10
3515301;2019;"Creche";"Estadual";0
3515301;2019;"Creche";"Municipal";88
3515301;2019;"Creche";"Particular";0
3515350;2019;"Creche";"Estadual";0
3515350;2019;"Creche";"Municipal";85
3515350;2019;"Creche";"Particular";0
3515400;2019;"Creche";"Estadual";0
3515400;2019;"Creche";"Municipal";303
3515400;2019;"Creche";"Particular";190
3515509;2019;"Creche";"Estadual";0
3515509;2019;"Creche";"Municipal";1672
3515509;2019;"Creche";"Particular";166
3515608;2019;"Creche";"Estadual";0
3515608;2019;"Creche";"Municipal";146
3515608;2019;"Creche";"Particular";0
3515657;2019;"Creche";"Estadual";0
3515657;2019;"Creche";"Municipal";62
3515657;2019;"Creche";"Particular";0
3515707;2019;"Creche";"Estadual";0
3515707;2019;"Creche";"Municipal";1921
3515707;2019;"Creche";"Particular";2074
3515806;2019;"Creche";"Estadual";0
3515806;2019;"Creche";"Municipal";44
3515806;2019;"Creche";"Particular";0
3515905;2019;"Creche";"Estadual";0
3515905;2019;"Creche";"Municipal";55
3515905;2019;"Creche";"Particular";0
3516002;2019;"Creche";"Estadual";0
3516002;2019;"Creche";"Municipal";159
3516002;2019;"Creche";"Particular";0
3516101;2019;"Creche";"Estadual";0
3516101;2019;"Creche";"Municipal";78
3516101;2019;"Creche";"Particular";0
3516200;2019;"Creche";"Estadual";0
3516200;2019;"Creche";"Municipal";20
3516200;2019;"Creche";"Particular";7766
3516309;2019;"Creche";"Estadual";0
3516309;2019;"Creche";"Municipal";3708
3516309;2019;"Creche";"Particular";20
3516408;2019;"Creche";"Estadual";0
3516408;2019;"Creche";"Municipal";3721
3516408;2019;"Creche";"Particular";113
3516507;2019;"Creche";"Estadual";0
3516507;2019;"Creche";"Municipal";97
3516507;2019;"Creche";"Particular";0
3516606;2019;"Creche";"Estadual";0
3516606;2019;"Creche";"Municipal";123
3516606;2019;"Creche";"Particular";0
3516705;2019;"Creche";"Estadual";0
3516705;2019;"Creche";"Municipal";682
3516705;2019;"Creche";"Particular";100
3516804;2019;"Creche";"Estadual";0
3516804;2019;"Creche";"Municipal";79
3516804;2019;"Creche";"Particular";0
3516853;2019;"Creche";"Estadual";0
3516853;2019;"Creche";"Municipal";196
3516853;2019;"Creche";"Particular";0
3516903;2019;"Creche";"Estadual";0
3516903;2019;"Creche";"Municipal";171
3516903;2019;"Creche";"Particular";5
3517000;2019;"Creche";"Estadual";0
3517000;2019;"Creche";"Municipal";29
3517000;2019;"Creche";"Particular";116
3517109;2019;"Creche";"Estadual";0
3517109;2019;"Creche";"Municipal";132
3517109;2019;"Creche";"Particular";0
3517208;2019;"Creche";"Estadual";0
3517208;2019;"Creche";"Municipal";216
3517208;2019;"Creche";"Particular";0
3517307;2019;"Creche";"Estadual";0
3517307;2019;"Creche";"Municipal";84
3517307;2019;"Creche";"Particular";0
3517406;2019;"Creche";"Estadual";0
3517406;2019;"Creche";"Municipal";767
3517406;2019;"Creche";"Particular";115
3517505;2019;"Creche";"Estadual";0
3517505;2019;"Creche";"Municipal";426
3517505;2019;"Creche";"Particular";0
3517604;2019;"Creche";"Estadual";0
3517604;2019;"Creche";"Municipal";131
3517604;2019;"Creche";"Particular";7
3517703;2019;"Creche";"Estadual";0
3517703;2019;"Creche";"Municipal";308
3517703;2019;"Creche";"Particular";120
3517802;2019;"Creche";"Estadual";0
3517802;2019;"Creche";"Municipal";51
3517802;2019;"Creche";"Particular";68
3517901;2019;"Creche";"Estadual";0
3517901;2019;"Creche";"Municipal";223
3517901;2019;"Creche";"Particular";0
3518008;2019;"Creche";"Estadual";0
3518008;2019;"Creche";"Municipal";49
3518008;2019;"Creche";"Particular";0
3518107;2019;"Creche";"Estadual";0
3518107;2019;"Creche";"Municipal";66
3518107;2019;"Creche";"Particular";23
3518206;2019;"Creche";"Estadual";0
3518206;2019;"Creche";"Municipal";942
3518206;2019;"Creche";"Particular";100
3518305;2019;"Creche";"Estadual";0
3518305;2019;"Creche";"Municipal";902
3518305;2019;"Creche";"Particular";3
3518404;2019;"Creche";"Estadual";0
3518404;2019;"Creche";"Municipal";800
3518404;2019;"Creche";"Particular";1170
3518503;2019;"Creche";"Estadual";0
3518503;2019;"Creche";"Municipal";215
3518503;2019;"Creche";"Particular";0
3518602;2019;"Creche";"Estadual";0
3518602;2019;"Creche";"Municipal";585
3518602;2019;"Creche";"Particular";50
3518701;2019;"Creche";"Estadual";0
3518701;2019;"Creche";"Municipal";1935
3518701;2019;"Creche";"Particular";4075
3518800;2019;"Creche";"Estadual";0
3518800;2019;"Creche";"Municipal";12806
3518800;2019;"Creche";"Particular";18156
3518859;2019;"Creche";"Estadual";0
3518859;2019;"Creche";"Municipal";279
3518859;2019;"Creche";"Particular";0
3518909;2019;"Creche";"Estadual";0
3518909;2019;"Creche";"Municipal";71
3518909;2019;"Creche";"Particular";0
3519006;2019;"Creche";"Estadual";0
3519006;2019;"Creche";"Municipal";78
3519006;2019;"Creche";"Particular";52
3519055;2019;"Creche";"Estadual";0
3519055;2019;"Creche";"Municipal";467
3519055;2019;"Creche";"Particular";73
3519071;2019;"Creche";"Estadual";0
3519071;2019;"Creche";"Municipal";5973
3519071;2019;"Creche";"Particular";312
3519105;2019;"Creche";"Estadual";0
3519105;2019;"Creche";"Municipal";230
3519105;2019;"Creche";"Particular";7
3519204;2019;"Creche";"Estadual";0
3519204;2019;"Creche";"Municipal";88
3519204;2019;"Creche";"Particular";0
3519253;2019;"Creche";"Estadual";0
3519253;2019;"Creche";"Municipal";135
3519253;2019;"Creche";"Particular";0
3519303;2019;"Creche";"Estadual";0
3519303;2019;"Creche";"Municipal";920
3519303;2019;"Creche";"Particular";5
3519402;2019;"Creche";"Estadual";0
3519402;2019;"Creche";"Municipal";237
3519402;2019;"Creche";"Particular";4
3519501;2019;"Creche";"Estadual";0
3519501;2019;"Creche";"Municipal";164
3519501;2019;"Creche";"Particular";0
3519600;2019;"Creche";"Estadual";0
3519600;2019;"Creche";"Municipal";1046
3519600;2019;"Creche";"Particular";194
3519709;2019;"Creche";"Estadual";0
3519709;2019;"Creche";"Municipal";1054
3519709;2019;"Creche";"Particular";166
3519808;2019;"Creche";"Estadual";0
3519808;2019;"Creche";"Municipal";71
3519808;2019;"Creche";"Particular";91
3519907;2019;"Creche";"Estadual";0
3519907;2019;"Creche";"Municipal";170
3519907;2019;"Creche";"Particular";0
3520004;2019;"Creche";"Estadual";0
3520004;2019;"Creche";"Municipal";515
3520004;2019;"Creche";"Particular";34
3520103;2019;"Creche";"Estadual";0
3520103;2019;"Creche";"Municipal";299
3520103;2019;"Creche";"Particular";172
3520202;2019;"Creche";"Estadual";0
3520202;2019;"Creche";"Municipal";179
3520202;2019;"Creche";"Particular";3
3520301;2019;"Creche";"Estadual";0
3520301;2019;"Creche";"Municipal";373
3520301;2019;"Creche";"Particular";42
3520400;2019;"Creche";"Estadual";0
3520400;2019;"Creche";"Municipal";1056
3520400;2019;"Creche";"Particular";15
3520426;2019;"Creche";"Estadual";0
3520426;2019;"Creche";"Municipal";388
3520426;2019;"Creche";"Particular";0
3520442;2019;"Creche";"Estadual";0
3520442;2019;"Creche";"Municipal";543
3520442;2019;"Creche";"Particular";16
